HTTP method,resource,route,ISO mesage,"Required 
by FSPIOP","Required 
by ISO 20022",ISO20022 Field,FSPIOP Mapping
,,,,,,CdtTrfTxInf.InstrForCdtrAgt.Cd,"If (transactionType.refundInfo)
CdtTrfTxInf.InstrForCdtrAgt.Cd = ""REFD"""
,,,,,,CdtTrfTxInf.InstrForCdtrAgt.InstrInf,"If (transactionType.refundInfo)
CdtTrfTxInf.InstrForCdtrAgt.InstrInf = transactionType.refundInfo.reason"
,,,,TRUE,,GrpHdr.PmtInstrXpryDtTm,expiration
,,,,,,,
PUT,quotes,/{ID},pacs.082.001.01,,,,
,,,,TRUE,,GrpHdr.PmtId.TxId,$path_params.id
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,,TRUE,GprHdr.NbOfTxs,1
,,,,TRUE,,GrpHdr.PmtInstrXpryDtTm,expiration
,,,,,TRUE,GrpHdr.SttlmInf.SttlmMtd,CLRG
,,,,,TRUE,CdtTrfTxInf.Dbtr.Id.OrgId.Othr.Id,{$previous.isoPostQuote.CdtTrfTxInf.Dbtr} || {$headers[fspiop-destination]}
,,,,,TRUE,CdtTrfTxInf.DbtrAgt.FinInstnId.Othr.Id,{$previous.isoPostQuote.CdtTrfTxInf.DbtrAgt} || || {$headers[fspiop-destination]}
,,,,,TRUE,CdtTrfTxInf.Cdtr.Id.OrgId.Othr.Id,{$previous.isoPostQuote.CdtTrfTxInf.Cdtr} || {$headers[fspiop-source]}
,,,,,TRUE,CdtTrfTxInf.CdtrAgt.FinInstnId.Othr.Id,{$previous.isoPostQuote.CdtTrfTxInf.CdtrAgt} ||  {$headers[fspiop-source]}
,,,,,TRUE,CdtTrfTxInf.ChrgBr,{$previous.isoPostQuote.CdtTrfTxInf.ChrgBr} || SHAR
,,,,TRUE,,CdtTrfTxInf.IntrBkSttlmAmt.Ccy,transferAmount.currency
,,,,TRUE,,CdtTrfTxInf.IntrBkSttlmAmt.ActiveCurrencyAndAmount,transferAmount.amount
,,,,,,CdtTrfTxInf.InstdAmt.Ccy,payeeReceiveAmount.currency
,,,,,,CdtTrfTxInf.InstdAmt.ActiveCurrencyAndAmount,payeeReceiveAmount.amount
,,,,TRUE,,CdtTrfTxInf.ChrgsInf.Amt.Ccy,payeeFspFee.currency
,,,,TRUE,,CdtTrfTxInf.ChrgsInf.Amt.ActiveOrHistoricCurrencyAndAmount,payeeFspFee.amount
,,,,TRUE,,CdtTrfTxInf.VrfctnOfTerms.IlpV4PrepPacket,ilpPacket
,,,,,,,
PUT,quotes,/{ID}/error,pacs.002.001.15,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,TRUE,,TxInfAndSts.StsRsnInf.Rsn.Cd,errorInformation.errorCode
,,,,,,,
POST,transfers,,pacs.008.001.13,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,,TRUE,GprHdr.NbOfTxs,1
,,,,TRUE,TRUE,GrpHdr.PmtInstrXpryDtTm,expiration
,,,,,TRUE,GrpHdr.SttlmInf.SttlmMtd,CLRG
,,,,,TRUE,CdtTrfTxInf.ChrgBr,{$previous.postQuoteResponse.CdtTrfTxInf.ChrgBr} || SHAR
,,,,,TRUE,CdtTrfTxInf.Cdtr,{$previous.postQuoteResponse.CdtTrfTxInf.Cdtr}
,,,,,TRUE,CdtTrfTxInf.Dbtr,{$previous.postQuoteResponse.CdtTrfTxInf.Dbtr}
,,,,TRUE,,CdtTrfTxInf.PmtId.TxId,transferId
,,,,TRUE,,CdtTrfTxInf.CdtrAgt.FinInstnId.Othr.Id,payeeFsp
,,,,TRUE,,CdtTrfTxInf.DbtrAgt.FinInstnId.Othr.Id,payerFsp
,,,,TRUE,,CdtTrfTxInf.IntrBkSttlmAmt.Ccy,amount.currency
,,,,TRUE,,CdtTrfTxInf.IntrBkSttlmAmt.ActiveCurrencyAndAmount,amount.amount
,,,,TRUE,,CdtTrfTxInf.VrfctnOfTerms.IlpV4PrepPacket,ilpPacket
,,,,,,,
PATCH,transfers,\{ID},pacs.002.001.15,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,TRUE,,TxInfAndSts.PrcgDt.DtTm,completedTimestamp
,,,,TRUE,,TxInfAndSts.TxSts,transferState
,,,,,,,
PUT,transfers,\{ID},pacs.002.001.15,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,TRUE,,TxInfAndSts.ExctnConf,fulfilment
,,,,TRUE,,TxInfAndSts.PrcgDt.DtTm,completedTimestamp
,,,,TRUE,,TxInfAndSts.TxSts,transferState
,,,,,,,
PUT,transfers,\{ID}\error,pacs.002.001.15,Critical,,Root Component (PacsError_FIToFIPaymentStatusReportV15),
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,TRUE,,TxInfAndSts.StsRsnInf.Rsn.Cd,errorInformation.errorCode
,,,,,,,
POST,fxquotes,,pacs.091.001.01,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,,TRUE,GprHdr.NbOfTxs,1
,,,,TRUE,,GrpHdr.PmtInstrXpryDtTm,expiration
,,,,,TRUE,GrpHdr.SttlmInf.SttlmMtd,CLRG
,,,,TRUE,,CdtTrfTxInf.PmtId.TxId,conversionRequestId
,,,,TRUE,,CdtTrfTxInf.PmtId.InstrId,conversionTerms.conversionId
,,,,TRUE,,CdtTrfTxInf.PmtId.EndToEndId ,conversionTerms.determiningTransferId
,,,,TRUE,,CdtTrfTxInf.Dbtr.FinInstnId.Othr.Id,conversionTerms.initiatingFsp
,,,,TRUE,,CdtTrfTxInf.Cdtr.FinInstnId.Othr.Id,conversionTerms.counterPartyFsp
,,,,TRUE,,CdtTrfTxInf.InstrForCdtrAgt.InstrInf,conversionTerms.amountType
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.Dbtr.OrgId.Othr.Id.Prtry,conversionTerms.initiatingFsp
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.DbtrAgt.FinInstnId.Othr.Id,conversionTerms.initiatingFsp
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.Cdtr.OrgId.Othr.Id.Prtry,conversionTerms.counterPartyFsp
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.CdtrAgt.FinInstnId.Othr.Id,conversionTerms.counterPartyFsp
,,,,TRUE,,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.Ccy,conversionTerms.sourceAmount.currency
,,,,TRUE,,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.ActiveOrHistoricCurrencyAndAmount,conversionTerms.sourceAmount.amount
,,,,TRUE,,CdtTrfTxInf.IntrBkSttlmAmt.Ccy,conversionTerms.targetAmount.currency
,,,,,TRUE,CdtTrfTxInf.IntrBkSttlmAmt.ActiveCurrencyAndAmount,0
,,,,,,,
PUT,fxquotes,\{ID},pacs.092.001,,,,
,,,,TRUE,,CdtTrfTxInf.VrfctnOfTerms.Sh256Sgntr,condition
,,,,TRUE,,CdtTrfTxInf.VrfctnOfTerms.PmtId.InstrId,conversionTerms.conversionId
,,,,TRUE,,CdtTrfTxInf.PmtId.TxId,conversionTerms.determiningTransferId
,,,,TRUE,,CdtTrfTxInf.Dbtr.FinInstnId.Othr.Id,conversionTerms.initiatingFsp
,,,,TRUE,,CdtTrfTxInf.Cdtr.FinInstnId.Othr.Id,conversionTerms.counterPartyFsp
,,,,TRUE,,CdtTrfTxInf.InstrForCdtrAgt.InstrInf,conversionTerms.amountType
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.Dbtr.OrgId.Othr.Id.Prtry,conversionTerms.initiatingFsp
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.DbtrAgt.FinInstnId.Othr.Id,conversionTerms.initiatingFsp
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.Cdtr.OrgId.Othr.Id.Prtry,conversionTerms.counterPartyFsp
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.CdtrAgt.FinInstnId.Othr.Id,conversionTerms.counterPartyFsp
,,,,TRUE,,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.Ccy,conversionTerms.sourceAmount.currency
,,,,TRUE,,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.ActiveOrHistoricCurrencyAndAmount,conversionTerms.sourceAmount.amount
,,,,TRUE,,CdtTrfTxInf.IntrBkSttlmAmt.Ccy,conversionTerms.targetAmount.currency
,,,,TRUE,,CdtTrfTxInf.IntrBkSttlmAmt.ActiveCurrencyAndAmount,conversionTerms.targetAmount.amount
,,,,TRUE,,GrpHdr.PmtInstrXpryDtTm,conversionTerms.expiration
,,,,,,,
PUT,fxquotes,\{ID}\error,pacs.002.001.15,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,TRUE,,TxInfAndSts.StsRsnInf.Rsn.Cd,errorInformation.errorCode
,,,,,,,
POST,fxTransfers,,pacs.009.001.12,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,,TRUE,GprHdr.NbOfTxs,"1 (For now, bulk TBD)"
,,,,TRUE,,GrpHdr.PmtInstrXpryDtTm,expiration
,,,,,TRUE,GrpHdr.SttlmInf.SttlmMtd,CLRG
,,,,TRUE,,CdtTrfTxInf.PmtId.TxId,commitRequestId
,,,,TRUE,,CdtTrfTxInf.PmtId.EndToEndId,determiningTransferId
,,,,TRUE,,CdtTrfTxInf.Dbtr.FinInstnId.Othr.Id,initiatingFsp
,,,,TRUE,,CdtTrfTxInf.Cdtr.FinInstnId.Othr.Id,counterPartyFsp
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.Dbtr.Id.OrgId.Othr.Id,initiatingFsp
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.DbtrAgt.FinInstnId.Othr.Id,initiatingFsp
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.Cdtr.Id.OrgId.Othr.Id,counterPartyFsp
,,,,,TRUE,CdtTrfTxInf.UndrlygCstmrCdtTrf.CdtrAgt.FinInstnId.Othr.Id,counterPartyFsp
,,,,TRUE,,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.Ccy,sourceAmount.currency
,,,,TRUE,,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.ActiveOrHistoricCurrencyAndAmount,sourceAmount.amount
,,,,TRUE,,CdtTrfTxInf.IntrBkSttlmAmt.Ccy,targetAmount.currency
,,,,TRUE,,CdtTrfTxInf.IntrBkSttlmAmt.ActiveCurrencyAndAmount,targetAmount.amount
,,,,TRUE,,CdtTrfTxInf.VrfctnOfTerms.Sh256Sgntr,condition
,,,,,,,
PUT,fxTransfers,\{ID},pacs.002.001.15,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,TRUE,,TxInfAndSts.ExctnConf,fulfilment
,,,,TRUE,,TxInfAndSts.PrcgDt.DtTm,completedTimestamp
,,,,TRUE,,TxInfAndSts.TxSts,transferState
,,,,,,,
PUT,fxTransfers,\{ID}\error,pacs.002.001.15,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,TRUE,,,TxInfAndSts.StsRsnInf.Rsn.Cd,errorInformation.errorCode
,,,,,,,
PATCH,fxTransfers,\{ID},pacs.002.001.15,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,TRUE,,TxInfAndSts.PrcgDt.DtTm ,completedTimestamp
,,,,TRUE,,TxInfAndSts.TxSts,transferState
